,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
6,190,CIN,Rex Burkhead,RB,23,2020,0,0,0,18,4,83,0,0,0,0,0,340,1401,14,130,1144,8,23,,,Nebraska,College Stats
6,191,WAS,Bacarri Rambo,DB,23,2016,0,0,1,8,1,41,0,0,0,0,0,0,0,0,0,0,0,105,4,2,Georgia,College Stats
6,192,IND,John Boyett,DB,23,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats
6,193,GNB,Nate Palmer,LB,23,2017,0,0,1,8,7,48,0,0,0,0,0,0,0,0,0,0,0,68,,1,Illinois St.,
6,194,SEA,Spencer Ware,RB,21,2019,0,0,1,17,0,43,0,0,0,0,0,357,1631,11,64,698,2,2,,,LSU,College Stats
6,195,HOU,Alan Bonner,WR,22,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Jacksonville St.,
6,196,MIN,Jeff Baca,G,23,2014,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,
6,197,CIN,Cobi Hamilton,WR,22,2017,0,0,1,2,0,14,0,0,0,0,0,0,0,0,18,242,2,1,,,Arkansas,College Stats
6,198,HOU,Chris Jones,DT,23,2016,0,0,0,15,,41,0,0,0,0,0,0,0,0,0,0,0,56,,9,Bowling Green,College Stats
6,199,DET,Theo Riddick,RB,22,2020,0,0,1,24,24,88,0,0,0,0,0,294,1037,5,290,2281,14,15,,,Notre Dame,College Stats
6,200,BAL,Kapron Lewis-Moore,DE,23,2015,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,,,Notre Dame,College Stats
6,201,HOU,Ryan Griffin,TE,23,2020,0,0,4,12,10,105,0,0,0,0,0,0,0,0,179,1897,12,9,,,Connecticut,College Stats
6,202,TEN,Khalid Wooten,DB,23,2014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Nevada,College Stats
6,203,BAL,Ryan Jensen,T,22,2020,0,0,4,34,10,83,0,0,0,0,0,0,0,0,0,0,0,,,,,
6,204,KAN,Braden Wilson,FB,23,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats
6,205,OAK,Stacy McGee,DT,23,2020,0,0,2,16,10,81,0,0,0,0,0,0,0,0,0,0,0,75,,4.5,Oklahoma,College Stats
6,206,PIT,Vince Williams,LB,23,2020,0,0,5,35,35,121,0,0,0,0,0,0,0,0,0,0,0,333,2,20.5,Florida St.,College Stats
7,207,KAN,Mike Catapano,DE,23,2016,0,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,8,,2,Princeton,
7,208,JAX,Jeremy Harris,DB,22,2015,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,,,New Mexico St.,College Stats
7,209,OAK,Brice Butler,WR,23,2018,0,0,0,9,3,69,0,0,0,0,0,0,0,0,79,1237,9,,,,San Diego St.,College Stats
7,210,JAX,Demetrius McCray,DB,22,2017,0,0,1,8,8,49,0,0,0,0,0,0,0,0,0,0,0,73,,,Appalachian St.,
7,211,DET,Michael Williams,TE,22,2015,0,0,1,0,0,15,0,0,0,0,0,0,0,0,3,26,0,1,,,Alabama,College Stats
7,212,PHI,Joe Kruger,DE,21,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats
7,213,MIN,Michael Mauti,LB,23,2017,0,0,0,6,2,58,0,0,0,0,0,0,0,0,0,0,0,58,,1,Penn St.,College Stats
7,214,MIN,Travis Bond,G,22,2014,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats
7,215,NYJ,Tommy Bohanon,RB,22,2018,0,0,1,1,1,68,0,0,0,0,0,26,72,2,29,239,1,3,,,Wake Forest,College Stats
7,216,GNB,Charles Johnson,WR,24,2016,0,0,0,7,,39,0,0,0,0,0,1,-11,0,60,834,2,2,,,Grand Valley St.,
7,217,CLE,Armonty Bryant,DE,23,2016,0,0,0,4,4,36,0,0,0,0,0,0,0,0,0,0,0,45,,11.5,East Central (OK),
7,218,PHI,Jordan Poyer,DB,22,2020,0,0,4,30,0,111,0,0,0,0,0,1,10,0,0,0,0,390,15,8,Oregon St.,College Stats
7,219,ARI,D.C. Jefferson,TE,24,2013,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Rutgers,College Stats
7,220,SEA,Ryan Seymour,G,23,2016,0,0,0,1,,13,0,0,0,0,0,0,0,0,0,0,0,,,,Vanderbilt,
7,221,SDG,Brad Sorensen,QB,25,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Southern Utah,
7,222,BUF,Chris Gragg,TE,23,2015,0,0,0,1,1,32,0,0,0,0,0,0,0,0,24,251,2,,,,Arkansas,College Stats
7,223,PIT,Nick Williams,DT,23,2020,0,0,1,10,,58,0,0,0,0,0,0,0,0,0,0,0,48,,7,Samford,
7,224,GNB,Kevin Dorsey,WR,23,2014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,0,1,,,Maryland,College Stats
7,225,NYG,Eric Herman,OL,23,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio,College Stats
7,226,NWE,Michael Buchanan,DE,22,2014,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,7,,2,Illinois,College Stats
7,227,CLE,Garrett Gilkey,T,23,2014,0,0,0,2,1,22,0,0,0,0,0,0,0,0,0,0,0,,,,Chadron St.,
7,228,WAS,Jawan Jamison,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Rutgers,College Stats
7,229,MIN,Everett Dawkins,DT,23,2013,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats
7,230,IND,Kerwynn Williams,RB,22,2017,0,0,0,6,0,39,0,0,0,0,0,218,971,4,15,126,0,6,,,Utah St.,College Stats
7,231,SEA,Ty Powell,DE,25,2014,0,0,0,1,,19,0,0,0,0,0,0,0,0,0,0,0,17,,1,Harding,
7,232,GNB,Sam Barrington,LB,22,2016,0,0,1,4,4,29,0,0,0,0,0,0,0,0,0,0,0,44,,1,South Florida,College Stats
7,233,OAK,David Bass,DE,22,2017,0,0,0,8,,64,0,0,0,0,0,0,0,0,0,0,0,70,2,9,Missouri Western St.,
7,234,DEN,Zac Dysert,QB,23,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (OH),College Stats
7,235,NWE,Steve Beauharnais,LB,23,2014,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,,Rutgers,College Stats
7,236,CHI,Marquess Wilson,WR,20,2016,0,0,0,6,6,31,0,0,0,0,0,0,0,0,56,777,3,,,,Washington St.,College Stats
7,237,SFO,B.J. Daniels,QB,24,2015,0,0,0,0,,8,1,2,7,0,0,6,6,0,2,18,0,1,,,South Florida,College Stats
7,238,BAL,Aaron Mellette,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Elon,
7,239,PHI,David King,DE,23,2017,0,0,0,1,,17,0,0,0,0,0,0,0,0,0,0,0,4,,2.5,Oklahoma,College Stats
7,240,CIN,Reid Fragel,OL,22,2015,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,
7,241,SEA,Jared Smith,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,New Hampshire,
7,242,SEA,Michael Bowie,T,21,2014,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,,,,,
7,243,ATL,Kemal Ishmael,DB,22,2019,0,0,1,11,11,95,0,0,0,0,0,0,0,0,0,0,0,183,5,1,Central Florida,College Stats
7,244,ATL,Zeke Motta,DB,23,2014,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,8,,,Notre Dame,College Stats
7,245,DET,Brandon Hepburn,LB,23,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Florida A&M,
7,246,SFO,Carter Bykowski,OL,23,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa St.,College Stats
7,247,BAL,Marc Anthony,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats
7,248,TEN,Daimion Stafford,DB,22,2016,0,0,0,8,8,62,0,0,0,0,0,0,0,0,0,0,0,94,2,3,Nebraska,College Stats
7,249,ATL,Sean Renfree,QB,23,2015,0,0,0,0,0,2,3,7,11,0,1,1,-4,0,0,0,0,,,,Duke,College Stats
7,250,MIA,Don Jones,DB,23,2016,0,0,0,1,1,56,0,0,0,0,0,0,0,0,0,0,0,35,,,Arkansas St.,College Stats
7,251,CIN,T.J. Johnson,C,23,2017,0,0,0,3,3,45,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,
7,252,SFO,Marcus Cooper,DB,23,2018,0,0,1,14,,75,0,0,0,0,0,0,0,0,0,0,0,145,7,,Rutgers,College Stats
7,253,NYG,Michael Cox,RB,24,2014,0,0,0,0,0,18,0,0,0,0,0,26,76,0,5,21,0,3,,,Massachusetts,College Stats
7,254,IND,Justice Cunningham,TE,22,2015,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,4,0,,,,South Carolina,College Stats
